225004689740965, 150875733412640, 116049940893518 @ 275, 389, 375
338282582546422, 191340608518886, 340003210160681 @ -162, 84, -46
276063330011297, 506267063607948, 451688278442130 @ -9, -360, -275
184895220833040, 346432574551322, 295370687370609 @ 190, -100, -32
191652244794317, 228752744289266, 232281189081226 @ -31, 21, 81
243836903069805, 200950090690864, 278486291904150 @ -28, 88, 22
99537538414359, 156839976263080, 330139497485318 @ 130, 130, -37
326389764039501, 504331313318919, 418345965619340 @ -131, -307, -163
148876210640065, 290152398181516, 301374612836089 @ 33, -38, 6
142515087922560, 255308120704690, 257170878718743 @ 68, 8, 52
295642841582982, 242101259588587, 104022418418097 @ -64, 55, 272
212300793229561, 261391853816696, 365490993544222 @ 18, 12, -93
165229346379582, 248276965460071, 161312784455361 @ 228, 79, 212
146531979069180, 97089275376773, 332003690930340 @ 22, 161, -23
120800899092132, 184913721524842, 473900231780358 @ 46, 68, -169
245193974976343, 210971062189687, 268026939360343 @ -33, 73, 36
442753793796843, 328612846899973, 283609914942486 @ -197, 51, -361
386255632768587, 458845472549101, 186183322563756 @ -53, -509, 253
31284818403777, 378560063574625, 130525938014247 @ 121, -131, 182
215792555249349, 255251601506749, 291132823173402 @ 53, 35, -5
440576428992381, 341794624061173, 283489603116870 @ -195, -71, -297
406821058032927, 358552748013016, 243495622599474 @ -84, -158, 37
333985935471117, 348387381803596, 196037336476056 @ 173, -110, 229
194315236713487, 480470439040782, 378290083309208 @ 51, -280, -115
423624567819357, 338961555301801, 243582531901236 @ 61, -23, -31
94275761968037, 416415875088596, 405203801734006 @ 101, -177, -111
182423650573104, 175953021338356, 485228050020492 @ 54, 122, -247
132946860128942, 343413209165262, 326300668034478 @ 36, -96, -17
372535536228591, 339775824243596, 291460134306860 @ -5, -78, -127
234895872588063, 62247228662200, 328601789968998 @ -48, 226, -29
219739080638176, 286527796435798, 280981600608968 @ 12, -20, 17
189527420319587, 44893660278076, 188459541975566 @ 71, 322, 143
380267121502632, 171933783462296, 62327709907551 @ -50, 486, 658
147002248372043, 129217307469322, 20610734515794 @ 72, 163, 337
378116309343993, 323069130988612, 248918730482046 @ 12, -7, 19
319333653031698, 278859269969079, 223866268814703 @ 52, 75, 106
236992756588085, 304463145397792, 340194522655246 @ -12, -44, -61
361033750565555, 283496102799226, 443655113595562 @ -186, -23, -175
235897203512717, 294114281232674, 253551760349992 @ -39, -37, 56
408102536955573, 333380318039952, 224743862672053 @ 133, 14, 168
293102890051939, 344678920502642, 319027665541226 @ -52, -97, -51
314560583563263, 247853680623604, 53638099642518 @ 168, 228, 683
358957968197762, 345732142415154, 247473914297280 @ 176, -100, 13
97749293379345, 58712595993126, 391620120825632 @ 43, 177, -72
322867629724035, 340590948643122, 203289896708124 @ 172, -81, 190
80125950337563, 291162150272609, 183137679036856 @ 67, -45, 129
258374458616771, 177916772961046, 144952832827550 @ -106, 67, 167
278357116203837, 305712540709126, 313477667351106 @ 25, -25, -67
264809045616867, 264739862065576, 262895162556366 @ 124, 82, 15
336748098976080, 273218710413310, 322060564461324 @ 30, 104, -167
429928385950838, 314414397421203, 244915322264740 @ -58, 209, -27
372274398572112, 231105491529412, 287140067936409 @ -124, 146, -34
300041946642210, 361805878294414, 348779219055194 @ 94, -140, -213
82333630198830, 239193100253797, 257911560955197 @ 188, 41, 48
226279166994495, 154940662484512, 108839076271560 @ -50, 110, 216
236988945746136, 219126354714877, 501245149354293 @ -46, 49, -232
290809399876260, 49865784333280, 261940365787665 @ 108, 638, 10
192479192269869, 89960784106480, 410601225475806 @ 72, 264, -171
154572048488187, 298722566659266, 216167781614996 @ 16, -49, 98
61402524224229, 314643942049666, 423478145912151 @ 85, -68, -106
358766524042277, 346694443835744, 276844061172806 @ -19, -102, -46
256397938412229, 266514037892864, 308510441425550 @ -38, 6, -19
111247170663991, 233159373163332, 468697849329816 @ 74, 24, -176
344810608922213, 303615399145216, 281518317463374 @ -63, -8, -23
362788311911379, 251466951828550, 193750060069434 @ -150, 55, 145
399463771643109, 390830800397568, 348214912693582 @ -56, -300, -427
410955878203009, 271492271760398, 451677568130560 @ -193, 83, -454
295197906839637, 437418987102341, 193165330189036 @ -59, -237, 141
154537540976799, 195927505433626, 181308919987650 @ 52, 77, 141
325985149258473, 250194915217672, 334102012662690 @ 108, 204, -238
124543315501773, 231620946800590, 338561758249206 @ 17, 11, -21
335269288780847, 561799450130906, 273598366143466 @ -160, -351, 33
406349536830357, 371696898098416, 244982099083326 @ -5, -260, 13
429820668866290, 271277644477337, 428343413274584 @ -246, 63, -343
285494082255787, 310483982523226, 238112394898756 @ 6, -35, 72
427654917316453, 283119550914376, 289816166586310 @ -171, 202, -189
183305780754531, 169697372808382, 507117795342356 @ -26, 79, -196
297993284172727, 148019247408016, 478413943821759 @ -109, 142, -218
448790421243093, 337156090194256, 245685544768734 @ -213, 32, -103
148786447967448, 318009921450292, 479155605119109 @ 14, -70, -172
179096144122083, 244536042632162, 235756205266522 @ 64, 35, 77
244534188760433, 150524896619640, 152520925860732 @ -45, 138, 178
292496348928869, 340309322862336, 330659178034254 @ -138, -93, -17
238428943280004, 398422698354598, 128738013198711 @ 18, -176, 234
313779278881410, 287246060199107, 290633760886106 @ -50, 5, -21
343288891378891, 429120523686379, 473870061316574 @ -25, -305, -513
446216226005587, 312289649316651, 248176797177231 @ -177, 407, -134
163307384848257, 225448720602800, 322389319780406 @ 31, 38, -21
311268063816389, 463933000929952, 394657123402262 @ -111, -254, -132
